Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,436788,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2021,2021-01-01,2021-12-31,EPS,1.0078,PER_SHARE_GHS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,2394002,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_PROFIT,161381,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,112385,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,911771,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,344165,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,EPS,1.0211,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,2384158,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_PROFIT,158084,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,113684,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,840495,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,352813,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2020,2020-01-01,2020-12-31,EPS,1.0162,PER_SHARE_GHS,GHS,TRUE,SEPARATE
